nama_pelanggan	segmen	negara	kota	provinsi	kodepos	wilayah	ID_produk	Kategori_produk	sub_kategori_produk	nama_produk	Penjualan	jumlah	diskon	keuntungan
Brendan Sweed	Corporate	United States	Philadelphia	Pennsylvania	19140	East	FUR-BO-10003433	Furniture	Bookcases	Sauder Cornerstone Collection Library	61.96	4	0.5	-53.2856
Erica Hackney	Consumer	United States	Roswell	Georgia	30076	South	TEC-AC-10003628	Technology	Accessories	Logitech 910-002974 M325 Wireless Mouse for Web Scrolling	149.95	5	0	65.978
Delfina Latchford	Consumer	United States	Philadelphia	Pennsylvania	19134	East	FUR-FU-10001095	Furniture	Furnishings	DAX Black Cherry Wood-Tone Poster Frame	127.104	6	0.2	28.5984
Delfina Latchford	Consumer	United States	Philadelphia	Pennsylvania	19134	East	OFF-BI-10001575	Office Supplies	Binders	GBC Linen Binding Covers	18.588	2	0.7	-13.6312
Delfina Latchford	Consumer	United States	Philadelphia	Pennsylvania	19134	East	OFF-LA-10001074	Office Supplies	Labels	Round Specialty Laser Printer Labels	30.072	3	0.2	10.1493
Delfina Latchford	Consumer	United States	Philadelphia	Pennsylvania	19134	East	TEC-PH-10004614	Technology	Phones	AT&T 841000 Phone	124.2	3	0.4	-31.05
David Wiener	Corporate	United States	Springfield	Oregon	97477	West	OFF-AP-10000692	Office Supplies	Appliances	Fellowes Mighty 8 Compact Surge Protector	64.864	4	0.2	6.4864
Toby Swindell	Consumer	United States	Scottsdale	Arizona	85254	West	FUR-BO-10001972	Furniture	Bookcases	O'Sullivan 4-Shelf Bookcase in Odessa Pine	181.47	5	0.7	-320.597
Toby Swindell	Consumer	United States	Scottsdale	Arizona	85254	West	OFF-BI-10003676	Office Supplies	Binders	GBC Standard Recycled Report Covers, Clear Plastic Sheets	32.34	10	0.7	-23.716
Toby Swindell	Consumer	United States	Scottsdale	Arizona	85254	West	OFF-EN-10002504	Office Supplies	Envelopes	Tyvek  Top-Opening Peel & Seel Envelopes, Plain White	108.72	5	0.2	36.693
Toby Swindell	Consumer	United States	Scottsdale	Arizona	85254	West	OFF-PA-10000659	Office Supplies	Paper	TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page	56.064	4	0.2	19.6224
Hunter Lopez	Consumer	United States	Jonesboro	Arkansas	72401	South	FUR-CH-10002331	Furniture	Chairs	Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms	1067.94	3	0	224.2674
Xylona Preis	Consumer	United States	Westland	Michigan	48185	Central	FUR-FU-10002268	Furniture	Furnishings	Ultra Door Push Plate	14.73	3	0	4.8609
Xylona Preis	Consumer	United States	Westland	Michigan	48185	Central	FUR-FU-10002918	Furniture	Furnishings	Eldon ClusterMat Chair Mat with Cordless Antistatic Protection	272.94	3	0	30.0234
Hunter Lopez	Consumer	United States	Jonesboro	Arkansas	72401	South	FUR-FU-10003194	Furniture	Furnishings	Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak	38.6	4	0	11.58
Mark Van Huff	Consumer	United States	Los Angeles	California	90049	West	FUR-FU-10003194	Furniture	Furnishings	Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak	19.3	2	0	5.79
Xylona Preis	Consumer	United States	Westland	Michigan	48185	Central	OFF-AP-10002311	Office Supplies	Appliances	Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter	247.716	4	0.1	93.5816
Hunter Lopez	Consumer	United States	Jonesboro	Arkansas	72401	South	OFF-AR-10002375	Office Supplies	Art	Newell 351	22.96	7	0	6.6584
Hunter Lopez	Consumer	United States	Jonesboro	Arkansas	72401	South	OFF-AR-10003811	Office Supplies	Art	Newell 327	6.63	3	0	1.7901
Xylona Preis	Consumer	United States	Westland	Michigan	48185	Central	OFF-AR-10004456	Office Supplies	Art	Panasonic KP-4ABK Battery-Operated Pencil Sharpener	43.92	3	0	12.7368
Xylona Preis	Consumer	United States	Westland	Michigan	48185	Central	OFF-BI-10000605	Office Supplies	Binders	Acco Pressboard Covers with Storage Hooks, 9 1/2" x 11", Executive Red	19.05	5	0	8.9535
Muhammed MacIntyre	Corporate	United States	Smyrna	Tennessee	37167	South	OFF-BI-10003091	Office Supplies	Binders	GBC DocuBind TL200 Manual Binding Machine	67.194	1	0.7	-51.5154
Xylona Preis	Consumer	United States	Westland	Michigan	48185	Central	OFF-BI-10004364	Office Supplies	Binders	Storex Dura Pro Binders	29.7	5	0	13.365
Hunter Lopez	Consumer	United States	Jonesboro	Arkansas	72401	South	OFF-EN-10001539	Office Supplies	Envelopes	Staple envelope	23.34	3	0	10.9698
Mark Van Huff	Consumer	United States	Los Angeles	California	90049	West	OFF-PA-10002893	Office Supplies	Paper	Wirebound Service Call Books, 5 1/2" x 4"	19.36	2	0	9.2928
Xylona Preis	Consumer	United States	Westland	Michigan	48185	Central	OFF-ST-10000760	Office Supplies	Storage	Eldon Fold 'N Roll Cart System	13.98	1	0	4.0542
Xylona Preis	Consumer	United States	Westland	Michigan	48185	Central	OFF-ST-10003123	Office Supplies	Storage	Fellowes Bases and Tops For Staxonsteel/High-Stak Systems	66.58	2	0	15.9792
Hunter Lopez	Consumer	United States	Jonesboro	Arkansas	72401	South	TEC-PH-10001061	Technology	Phones	Apple iPhone 5C	699.93	7	0	181.9818
Tom Boeckenhauer	Consumer	United States	Miami	Florida	33180	South	FUR-FU-10001889	Furniture	Furnishings	Ultra Door Pull Handle	25.248	3	0.2	4.1028
Jane Waco	Corporate	Canada	Toronto	Ontario	M7A	East	FUR-FU-10001025	Furniture	Furnishings	Eldon Imàge Series Desk Accessories, Clear	24.3	5	0	10.45
Jane Waco	Corporate	Canada	Toronto	Ontario	M7A	East	FUR-FU-10002445	Furniture	Furnishings	DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7	9.48	1	0	3.79
Jane Waco	Corporate	Canada	Toronto	Ontario	M7A	East	FUR-FU-10002960	Furniture	Furnishings	Eldon 200 Class Desk Accessories, Burgundy	31.4	5	0	13.19
Jane Waco	Corporate	Canada	Toronto	Ontario	M7A	East	OFF-PA-10002689	Office Supplies	Paper	Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright)	6.48	1	0	3.11
Jane Waco	Corporate	Canada	Toronto	Ontario	M7A	East	TEC-PH-10001300	Technology	Phones	iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4	209.5	10	0	58.66
Speros Goranitis	Consumer	United States	Lafayette	Indiana	47905	Central	OFF-FA-10003467	Office Supplies	Fasteners	Alliance Big Bands Rubber Bands, 12/Pack	5.94	3	0	0
Ionia McGrath	Consumer	United States	Las Vegas	Nevada	89115	West	OFF-PA-10001804	Office Supplies	Paper	Xerox 195	40.08	6	0	19.2384
Carol Adams	Corporate	United States	Rapid City	South Dakota	57701	Central	FUR-BO-10004409	Furniture	Bookcases	Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray	141.96	2	0	39.7488
Shirley Daniels	Home Office	United States	Alexandria	Virginia	22304	South	FUR-FU-10001847	Furniture	Furnishings	Eldon Image Series Black Desk Accessories	12.42	3	0	4.4712
Shirley Daniels	Home Office	United States	Alexandria	Virginia	22304	South	FUR-FU-10004587	Furniture	Furnishings	GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack	62.82	3	0	30.7818
Carol Adams	Corporate	United States	Rapid City	South Dakota	57701	Central	OFF-BI-10001758	Office Supplies	Binders	Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders	10.68	2	0	5.0196
Shirley Daniels	Home Office	United States	Alexandria	Virginia	22304	South	OFF-PA-10000380	Office Supplies	Paper	REDIFORM Incoming/Outgoing Call Register, 11" X 8 1/2", 100 Messages	16.68	2	0	8.34
Shirley Daniels	Home Office	United States	Alexandria	Virginia	22304	South	OFF-PA-10003072	Office Supplies	Paper	Eureka Recycled Copy Paper 8 1/2" x 11", Ream	19.44	3	0	9.3312
Shirley Daniels	Home Office	United States	Alexandria	Virginia	22304	South	OFF-ST-10004337	Office Supplies	Storage	SAFCO Commercial Wire Shelving, 72h	489.92	8	0	0
Shirley Daniels	Home Office	United States	Alexandria	Virginia	22304	South	TEC-PH-10002103	Technology	Phones	Jabra SPEAK 410	187.98	2	0	52.6344
Shirley Daniels	Home Office	United States	Alexandria	Virginia	22304	South	TEC-PH-10004833	Technology	Phones	Macally Suction Cup Mount	155.35	13	0	0
Ed Jacobs	Consumer	United States	San Diego	California	92037	West	FUR-TA-10003469	Furniture	Tables	Balt Split Level Computer Training Table	333	3	0.2	-16.65
Ed Jacobs	Consumer	United States	San Diego	California	92037	West	OFF-AR-10003179	Office Supplies	Art	Dixon Ticonderoga Core-Lock Colored Pencils	36.44	4	0	12.0252
Ed Jacobs	Consumer	United States	San Diego	California	92037	West	OFF-ST-10003692	Office Supplies	Storage	Recycled Steel Personal File for Hanging File Folders	57.23	1	0	14.3075
Jasper Cacioppo	Consumer	United States	New York City	New York	10024	East	OFF-BI-10000343	Office Supplies	Binders	Pressboard Covers with Storage Hooks, 9 1/2" x 11", Light Blue	3.928	1	0.2	1.3257
Mike Vittorini	Consumer	United States	Detroit	Michigan	48234	Central	OFF-PA-10001204	Office Supplies	Paper	Xerox 1972	10.56	2	0	4.752
Mike Vittorini	Consumer	United States	Detroit	Michigan	48234	Central	OFF-ST-10000991	Office Supplies	Storage	Space Solutions HD Industrial Steel Shelving.	229.94	2	0	6.8982
Liz Carlisle	Consumer	United States	Mission Viejo	California	92691	West	FUR-BO-10003966	Furniture	Bookcases	Sauder Facets Collection Library, Sky Alder Finish	290.666	2	0.15	3.4196
Bradley Drucker	Consumer	United States	Green Bay	Wisconsin	54302	Central	TEC-AC-10001432	Technology	Accessories	Enermax Aurora Lite Keyboard	468.9	6	0	206.316
Eric Barreto	Consumer	United States	Saint Petersburg	Florida	33710	South	OFF-BI-10000666	Office Supplies	Binders	Surelock Post Binders	18.336	2	0.7	-12.224
Cynthia Delaney	Home Office	United States	San Diego	California	92037	West	OFF-FA-10001843	Office Supplies	Fasteners	Staples	12.35	5	0	5.8045
Eric Barreto	Consumer	United States	Saint Petersburg	Florida	33710	South	TEC-PH-10002890	Technology	Phones	AT&T 17929 Lendline Telephone	180.96	5	0.2	13.572
Tom Boeckenhauer	Consumer	United States	Seattle	Washington	98105	West	OFF-BI-10002827	Office Supplies	Binders	Avery Durable Poly Binders	13.272	3	0.2	4.3134
Tom Boeckenhauer	Consumer	United States	Seattle	Washington	98105	West	OFF-BI-10004593	Office Supplies	Binders	Ibico Laser Imprintable Binding System Covers	83.84	2	0.2	27.248
Mark Haberlin	Corporate	United States	Escondido	California	92025	West	OFF-BI-10003676	Office Supplies	Binders	GBC Standard Recycled Report Covers, Clear Plastic Sheets	17.248	2	0.2	6.0368
Deborah Brumfield	Home Office	United States	San Diego	California	92024	West	OFF-BI-10004230	Office Supplies	Binders	GBC Recycled Grain Textured Covers	82.896	3	0.2	29.0136
Deborah Brumfield	Home Office	United States	San Diego	California	92024	West	OFF-PA-10000350	Office Supplies	Paper	Message Book, Standard Line "While You Were Out", 5 1/2" X 4", 200 Sets/Book	34.24	4	0	16.0928
Delfina Latchford	Consumer	United States	Romeoville	Illinois	60441	Central	OFF-BI-10001196	Office Supplies	Binders	Avery Flip-Chart Easel Binder, Black	8.952	2	0.8	-14.7708
Neil Ducich	Corporate	United States	Chesapeake	Virginia	23320	South	OFF-LA-10002787	Office Supplies	Labels	Avery 480	15	4	0	7.2
Neil Ducich	Corporate	United States	Chesapeake	Virginia	23320	South	TEC-PH-10001615	Technology	Phones	AT&T CL82213	144.95	5	0	42.0355
Neil Ducich	Corporate	United States	Chesapeake	Virginia	23320	South	TEC-PH-10003645	Technology	Phones	Aastra 57i VoIP phone	161.61	1	0	42.0186
Chris Selesnick	Corporate	United States	New York City	New York	10024	East	OFF-ST-10001558	Office Supplies	Storage	Acco Perma 4000 Stacking Storage Drawers	64.96	4	0	9.744
Cyma Kinney	Corporate	United States	Linden	New Jersey	7036	East	TEC-AC-10000710	Technology	Accessories	Maxell DVD-RAM Discs	115.36	7	0	49.6048
Nathan Mautz	Home Office	United States	North Las Vegas	Nevada	89031	West	FUR-FU-10002111	Furniture	Furnishings	Master Caster Door Stop, Large Brown	14.56	2	0	5.5328
Guy Armstrong	Consumer	United States	Columbia	Missouri	65203	Central	FUR-CH-10001146	Furniture	Chairs	Global Value Mid-Back Manager's Chair, Gray	60.89	1	0	15.2225
Guy Armstrong	Consumer	United States	Columbia	Missouri	65203	Central	FUR-FU-10002298	Furniture	Furnishings	Rubbermaid ClusterMat Chairmats, Mat Size- 66" x 60", Lip 20" x 11" -90 Degree Angle	332.94	3	0	53.2704
Natalie Fritzler	Consumer	United States	Chesapeake	Virginia	23320	South	FUR-TA-10003715	Furniture	Tables	Hon 2111 Invitation Series Corner Table	1256.22	6	0	75.3732
Natalie Fritzler	Consumer	United States	Chesapeake	Virginia	23320	South	OFF-BI-10003291	Office Supplies	Binders	Wilson Jones Leather-Like Binders with DublLock Round Rings	17.46	2	0	8.2062
Guy Armstrong	Consumer	United States	Columbia	Missouri	65203	Central	OFF-BI-10004654	Office Supplies	Binders	VariCap6 Expandable Binder	51.9	3	0	24.393
Guy Armstrong	Consumer	United States	Columbia	Missouri	65203	Central	OFF-BI-10004728	Office Supplies	Binders	Wilson Jones Turn Tabs Binder Tool for Ring Binders	9.64	2	0	4.4344
Guy Armstrong	Consumer	United States	Columbia	Missouri	65203	Central	OFF-LA-10004853	Office Supplies	Labels	Avery 483	14.94	3	0	6.8724
Guy Armstrong	Consumer	United States	Columbia	Missouri	65203	Central	OFF-ST-10002583	Office Supplies	Storage	Fellowes Neat Ideas Storage Cubes	64.96	2	0	2.5984
Natalie Fritzler	Consumer	United States	Chesapeake	Virginia	23320	South	TEC-AC-10001432	Technology	Accessories	Enermax Aurora Lite Keyboard	234.45	3	0	103.158
Sanjit Chand	Consumer	United States	Concord	California	94521	West	FUR-CH-10000225	Furniture	Chairs	Global Geo Office Task Chair, Gray	129.568	2	0.2	-24.294
Marina Lichtenstein	Corporate	United States	Seattle	Washington	98103	West	OFF-AP-10001293	Office Supplies	Appliances	Belkin 8 Outlet Surge Protector	81.96	2	0	22.9488
Shui Tom	Consumer	United States	Houston	Texas	77095	Central	OFF-PA-10000466	Office Supplies	Paper	Memo Book, 100 Message Capacity, 5 3/8” x 11”	16.176	3	0.2	6.066
Marina Lichtenstein	Corporate	United States	Seattle	Washington	98103	West	OFF-SU-10000157	Office Supplies	Supplies	Compact Automatic Electric Letter Opener	238.62	2	0	4.7724
Marina Lichtenstein	Corporate	United States	Seattle	Washington	98103	West	TEC-AC-10000736	Technology	Accessories	Logitech G600 MMO Gaming Mouse	239.97	3	0	86.3892
Barry Französisch	Corporate	United States	Seattle	Washington	98105	West	OFF-BI-10001031	Office Supplies	Binders	Pressboard Data Binders by Wilson Jones	21.36	5	0.2	7.209
Michael Nguyen	Consumer	United States	Dallas	Texas	75220	Central	OFF-AP-10001303	Office Supplies	Appliances	Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter	7.96	2	0.8	-13.93
Michael Nguyen	Consumer	United States	Dallas	Texas	75220	Central	OFF-BI-10002012	Office Supplies	Binders	Wilson Jones Easy Flow II Sheet Lifters	1.08	3	0.8	-1.728
Delfina Latchford	Consumer	United States	Chicago	Illinois	60653	Central	OFF-AR-10003631	Office Supplies	Art	Staples in misc. colors	54.208	14	0.2	8.8088
Troy Blackwell	Consumer	United States	Lubbock	Texas	79424	Central	FUR-FU-10002396	Furniture	Furnishings	DAX Copper Panel Document Frame, 5 x 7 Size	25.16	5	0.6	-11.322
Aaron Bergman	Consumer	United States	Arlington	Texas	76017	Central	OFF-ST-10000321	Office Supplies	Storage	Akro Stacking Bins	12.624	2	0.2	-2.5248
Linda Cazamias	Corporate	United States	Richmond	Indiana	47374	Central	FUR-FU-10000221	Furniture	Furnishings	Master Caster Door Stop, Brown	20.32	4	0	6.9088
Steven Roelle	Home Office	United States	Los Angeles	California	90049	West	OFF-PA-10003363	Office Supplies	Paper	Xerox 204	12.96	2	0	6.2208
Linda Cazamias	Corporate	United States	Richmond	Indiana	47374	Central	TEC-AC-10001284	Technology	Accessories	Enermax Briskie RF Wireless Keyboard and Mouse Combo	62.31	3	0	22.4316
Tamara Manning	Consumer	United States	Woodstock	Illinois	60098	Central	OFF-BI-10004094	Office Supplies	Binders	GBC Standard Plastic Binding Systems Combs	8.85	5	0.8	-13.7175
Sue Ann Reed	Consumer	United States	Moreno Valley	California	92553	West	OFF-PA-10001800	Office Supplies	Paper	Xerox 220	19.44	3	0	9.3312
Michael Grace	Home Office	United States	El Paso	Texas	79907	Central	OFF-BI-10000320	Office Supplies	Binders	GBC Plastic Binding Combs	4.428	3	0.8	-6.8634
Michael Grace	Home Office	United States	El Paso	Texas	79907	Central	OFF-LA-10004425	Office Supplies	Labels	Staple-on labels	6.936	3	0.2	2.3409
Jennifer Halladay	Consumer	United States	Medford	Oregon	97504	West	OFF-PA-10000069	Office Supplies	Paper	TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack	22.776	3	0.2	7.6869
Jennifer Halladay	Consumer	United States	Medford	Oregon	97504	West	OFF-PA-10000174	Office Supplies	Paper	Message Book, Wirebound, Four 5 1/2" X 4" Forms/Pg., 200 Dupl. Sets/Book	32.896	4	0.2	11.1024
Joy Smith	Consumer	United States	Columbus	Ohio	43229	East	OFF-AR-10003560	Office Supplies	Art	Zebra Zazzle Fluorescent Highlighters	19.456	4	0.2	3.4048
Vicky Freymann	Home Office	United States	Elmhurst	Illinois	60126	Central	FUR-CH-10000863	Furniture	Chairs	Novimex Swivel Fabric Task Chair	634.116	6	0.3	-172.1172
Shahid Collister	Consumer	United States	El Paso	Texas	79907	Central	FUR-CH-10001270	Furniture	Chairs	Harbour Creations Steel Folding Chair	362.25	6	0.3	0
Dave Brooks	Consumer	United States	Seattle	Washington	98115	West	FUR-CH-10004063	Furniture	Chairs	Global Deluxe High-Back Manager's Chair	457.568	2	0.2	51.4764
Shahid Collister	Consumer	United States	El Paso	Texas	79907	Central	FUR-FU-10001095	Furniture	Furnishings	DAX Black Cherry Wood-Tone Poster Frame	63.552	6	0.6	-34.9536
Giulietta Weimer	Consumer	United States	Houston	Texas	77036	Central	FUR-TA-10001866	Furniture	Tables	Bevis Round Conference Room Tables and Bases	376.509	3	0.3	-43.0296
Shahid Collister	Consumer	United States	El Paso	Texas	79907	Central	OFF-FA-10004395	Office Supplies	Fasteners	Plymouth Boxed Rubber Bands by Plymouth	18.84	5	0.2	-3.5325
Vicky Freymann	Home Office	United States	Elmhurst	Illinois	60126	Central	OFF-PA-10003036	Office Supplies	Paper	Black Print Carbonless 8 1/2" x 8 1/4" Rapid Memo Book	17.472	3	0.2	5.6784
Shahid Collister	Consumer	United States	El Paso	Texas	79907	Central	OFF-ST-10001469	Office Supplies	Storage	Fellowes Bankers Box Recycled Super Stor/Drawer	129.552	3	0.2	-22.6716
Giulietta Weimer	Consumer	United States	Houston	Texas	77036	Central	OFF-ST-10003692	Office Supplies	Storage	Recycled Steel Personal File for Hanging File Folders	137.352	3	0.2	8.5845
Hallie Redmond	Home Office	United States	New York City	New York	10035	East	TEC-PH-10003655	Technology	Phones	Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4	5.94	3	0	1.6038
Kristina Nunn	Home Office	United States	New York City	New York	10009	East	OFF-EN-10001990	Office Supplies	Envelopes	Staple envelope	11.36	2	0	5.3392
Nicole Hansen	Corporate	United States	Philadelphia	Pennsylvania	19120	East	OFF-PA-10000327	Office Supplies	Paper	Xerox 1971	3.424	1	0.2	1.07
Kristina Nunn	Home Office	United States	New York City	New York	10009	East	OFF-PA-10000587	Office Supplies	Paper	Array Parchment Paper, Assorted Colors	36.4	5	0	17.472
Nicole Hansen	Corporate	United States	Philadelphia	Pennsylvania	19120	East	TEC-AC-10004353	Technology	Accessories	Hypercom P1300 Pinpad	151.2	3	0.2	32.13
Jill Stevenson	Corporate	United States	Columbus	Ohio	43229	East	FUR-BO-10001972	Furniture	Bookcases	O'Sullivan 4-Shelf Bookcase in Odessa Pine	302.45	5	0.5	-199.617
Eva Jacobs	Consumer	United States	San Diego	California	92037	West	FUR-TA-10002958	Furniture	Tables	Bevis Oval Conference Table, Walnut	626.352	3	0.2	-23.4882
Sam Craven	Consumer	United States	Houston	Texas	77095	Central	OFF-AP-10002534	Office Supplies	Appliances	3.6 Cubic Foot Counter Height Office Refrigerator	176.772	3	0.8	-459.6072
Ashley Jarboe	Consumer	United States	Wilmington	North Carolina	28403	South	OFF-AR-10003560	Office Supplies	Art	Zebra Zazzle Fluorescent Highlighters	19.456	4	0.2	3.4048
Anne Pryor	Home Office	United States	New York City	New York	10035	East	OFF-BI-10003429	Office Supplies	Binders	Cardinal HOLDit! Binder Insert Strips,Extra Strips	25.32	5	0.2	9.1785
Anne Pryor	Home Office	United States	New York City	New York	10035	East	OFF-BI-10004593	Office Supplies	Binders	Ibico Laser Imprintable Binding System Covers	125.76	3	0.2	40.872
Jill Stevenson	Corporate	United States	Columbus	Ohio	43229	East	OFF-LA-10000305	Office Supplies	Labels	Avery 495	15.12	3	0.2	4.914
Jill Stevenson	Corporate	United States	Columbus	Ohio	43229	East	OFF-ST-10002486	Office Supplies	Storage	Eldon Shelf Savers Cubes and Bins	44.672	8	0.2	-10.0512
Anne Pryor	Home Office	United States	New York City	New York	10035	East	TEC-PH-10004700	Technology	Phones	PowerGen Dual USB Car Charger	9.99	1	0	4.5954
Sanjit Chand	Consumer	United States	Margate	Florida	33063	South	OFF-AR-10001374	Office Supplies	Art	BIC Brite Liner Highlighters, Chisel Tip	15.552	3	0.2	2.3328
Clay Ludtke	Consumer	United States	Columbia	South Carolina	29203	South	OFF-ST-10001370	Office Supplies	Storage	Sensible Storage WireTech Storage Systems	354.9	5	0	17.745
